segment,start_frame,end_frame,start_time,end_time,duration,camera_view,confidence
1,0,960,0.0,16.016,16.016,SIDE,0.77
2,4956,5400,82.683,90.09,7.407,WIDE,0.83
3,5640,24084,94.094,401.801,307.707,WIDE,0.86
4,24384,40788,406.806,680.48,273.673,WIDE,0.86
5,40872,83832,681.881,1398.597,716.716,WIDE,0.87
6,83904,83952,1399.798,1400.599,0.801,OTHER,0.85
7,84192,84228,1404.603,1405.204,0.601,OTHER,0.85
8,84312,84528,1406.605,1410.209,3.604,OTHER,0.85
9,85656,146208,1429.028,2439.237,1010.209,WIDE,0.91
10,146292,146508,2440.638,2444.242,3.604,OTHER,0.85
11,146700,146784,2447.445,2448.846,1.401,WIDE,0.95
12,147444,154440,2459.857,2576.574,116.717,WIDE,0.89
13,154524,154764,2577.975,2581.979,4.004,OTHER,0.85
14,155640,159312,2596.594,2657.855,61.261,WIDE,0.92
15,159696,159912,2664.262,2667.865,3.604,WIDE,0.95
16,159948,160044,2668.466,2670.067,1.602,WIDE,0.95
17,160080,160116,2670.668,2671.269,0.601,WIDE,0.95
18,160272,163464,2673.871,2727.124,53.253,WIDE,0.86
19,163728,166224,2731.529,2773.17,41.642,WIDE,0.95
20,166284,170316,2774.171,2841.439,67.267,OTHER,0.85
