frame,timestamp,track_id,x1,y1,x2,y2,confidence
0,0.0,1,1047.5,403.0,1313.3,1037.89,0.8902
0,0.0,2,259.51,414.29,572.54,1074.59,0.8283
0,0.0,3,694.49,413.05,902.7,1055.68,0.8021
0,0.0,4,807.4,399.58,956.41,956.43,0.7115
0,0.0,5,0.4,566.65,69.94,844.45,0.6908
0,0.0,8,1014.61,448.9,1119.23,930.2,0.3408
0,0.0,9,103.3,148.63,266.47,473.62,0.3101
6,0.1,1,1061.34,402.01,1321.85,1022.28,0.8782
6,0.1,2,256.58,408.06,518.07,1075.29,0.8847
6,0.1,3,711.9,413.0,911.81,1043.01,0.8149
6,0.1,4,813.73,391.39,968.21,942.28,0.8101
6,0.1,5,3.46,545.19,123.57,1043.64,0.8724
6,0.1,8,1018.87,441.76,1127.64,924.35,0.5441
12,0.2,1,1074.95,401.42,1327.26,1013.84,0.8863
12,0.2,2,242.51,407.45,530.01,1074.79,0.912
12,0.2,3,719.03,416.04,918.9,1031.94,0.7888
12,0.2,4,818.73,393.25,975.62,943.46,0.7666
12,0.2,5,8.51,473.82,155.9,1079.67,0.9086
12,0.2,8,1022.49,443.39,1138.75,917.18,0.4505
12,0.2,9,124.0,147.36,314.94,468.56,0.3003
12,0.2,10,972.68,451.18,1086.44,752.56,0.4173
18,0.3,1,1076.38,404.15,1331.05,1004.75,0.8847
18,0.3,2,229.01,419.07,546.45,1077.13,0.9002
18,0.3,3,725.42,419.92,913.26,1028.23,0.7995
18,0.3,4,820.46,395.13,981.73,942.05,0.818
18,0.3,5,8.26,440.74,180.01,1080.0,0.9154
18,0.3,8,1026.2,438.58,1154.69,915.68,0.3355
18,0.3,9,141.55,147.83,389.23,470.87,0.4203
18,0.3,10,976.75,453.83,1079.21,761.5,0.3709
18,0.3,11,823.96,2.7,936.5,105.02,0.3902
24,0.4,1,1076.18,404.67,1331.5,995.21,0.8923
24,0.4,2,235.12,421.66,541.94,1077.08,0.8892
24,0.4,3,727.55,422.53,897.64,1024.51,0.8241
24,0.4,4,828.82,397.84,988.61,934.42,0.8514
24,0.4,5,6.06,428.52,186.01,1080.0,0.917
24,0.4,8,1036.04,434.19,1145.0,853.36,0.4035
24,0.4,9,155.7,147.01,424.33,470.61,0.4286
24,0.4,10,979.44,464.04,1067.87,760.72,0.3633
24,0.4,11,827.05,3.51,938.65,108.14,0.4432
30,0.501,1,1080.06,405.11,1331.34,986.4,0.9038
30,0.501,2,187.4,417.27,511.41,1077.28,0.8499
30,0.501,3,721.0,420.11,879.86,1043.04,0.7784
30,0.501,4,835.71,397.31,1000.7,929.73,0.8712
30,0.501,5,2.23,427.11,182.82,1080.0,0.9136
30,0.501,8,1042.31,432.19,1136.02,812.08,0.4198
30,0.501,10,981.62,464.87,1067.84,764.25,0.3632
30,0.501,11,831.55,2.42,942.79,110.71,0.4143
36,0.601,1,1084.95,404.18,1329.02,975.07,0.8987
36,0.601,2,166.91,410.73,458.62,1076.75,0.7793
36,0.601,3,713.43,421.86,880.53,1040.21,0.8471
36,0.601,4,844.89,398.83,1007.18,925.4,0.8514
36,0.601,5,3.38,436.18,199.56,1080.0,0.9191
36,0.601,8,1047.59,430.81,1136.9,792.64,0.3824
36,0.601,10,988.5,459.38,1076.22,755.8,0.5724
36,0.601,15,957.72,11.96,1058.59,116.5,0.374
42,0.701,1,1086.36,403.95,1327.17,964.91,0.8883
42,0.701,2,162.9,405.51,404.13,1076.35,0.8041
42,0.701,3,695.87,421.51,872.36,1035.73,0.8622
42,0.701,4,848.72,400.11,1007.68,910.7,0.8556
42,0.701,5,2.24,485.22,213.09,1080.0,0.8663
42,0.701,8,1055.53,428.27,1136.85,784.99,0.3587
42,0.701,9,197.42,146.92,416.19,378.49,0.4179
42,0.701,10,993.37,459.63,1079.71,758.58,0.5844
42,0.701,15,960.44,18.3,1061.04,112.18,0.3807
48,0.801,1,1087.1,403.2,1326.73,950.24,0.8848
48,0.801,2,173.38,404.89,392.23,1074.19,0.8115
48,0.801,3,693.83,419.0,876.16,1026.32,0.8662
48,0.801,4,851.64,400.68,1011.31,899.36,0.8588
48,0.801,5,3.96,517.22,235.54,1075.35,0.8454
48,0.801,9,213.54,146.71,454.05,365.41,0.4923
48,0.801,10,1000.08,453.96,1089.53,765.93,0.5561
48,0.801,17,1804.65,411.87,1917.59,1056.85,0.8438
54,0.901,1,1091.97,404.28,1329.13,940.34,0.8996
54,0.901,2,186.81,405.12,385.71,1076.6,0.8208
54,0.901,3,693.54,416.79,876.8,1021.14,0.8657
54,0.901,4,854.52,400.95,1020.67,898.4,0.8799
54,0.901,5,2.57,540.64,235.08,1066.95,0.8472
54,0.901,10,1004.12,454.56,1090.18,693.5,0.3861
54,0.901,11,849.06,25.66,965.15,135.43,0.5087
