frame,timestamp,track_id,camera_view,player_x,player_y,norm_x,norm_y,pitch_x,pitch_y,coordinate_system,confidence
0,0.0,1,SIDE,1180.4,1037.89,0.6148,0.961,,,image_normalized,0.8902
6,0.1,1,SIDE,1191.59,1022.28,0.6206,0.9466,,,image_normalized,0.8782
12,0.2,1,SIDE,1201.1,1013.84,0.6256,0.9387,,,image_normalized,0.8863
18,0.3,1,SIDE,1203.72,1004.75,0.6269,0.9303,,,image_normalized,0.8847
24,0.4,1,SIDE,1203.84,995.21,0.627,0.9215,,,image_normalized,0.8923
30,0.501,1,SIDE,1205.7,986.4,0.628,0.9133,,,image_normalized,0.9038
36,0.601,1,SIDE,1206.99,975.07,0.6286,0.9028,,,image_normalized,0.8987
42,0.701,1,SIDE,1206.76,964.91,0.6285,0.8934,,,image_normalized,0.8883
48,0.801,1,SIDE,1206.92,950.24,0.6286,0.8799,,,image_normalized,0.8848
54,0.901,1,SIDE,1210.55,940.34,0.6305,0.8707,,,image_normalized,0.8996
60,1.001,1,SIDE,1219.46,939.19,0.6351,0.8696,,,image_normalized,0.8851
66,1.101,1,SIDE,1230.61,932.49,0.6409,0.8634,,,image_normalized,0.8928
72,1.201,1,SIDE,1239.59,925.8,0.6456,0.8572,,,image_normalized,0.9007
78,1.301,1,SIDE,1255.55,913.99,0.6539,0.8463,,,image_normalized,0.8554
84,1.401,1,SIDE,1270.49,903.51,0.6617,0.8366,,,image_normalized,0.8569
90,1.502,1,SIDE,1289.68,896.25,0.6717,0.8299,,,image_normalized,0.857
96,1.602,1,SIDE,1301.11,893.11,0.6777,0.827,,,image_normalized,0.882
102,1.702,1,SIDE,1312.01,891.93,0.6833,0.8259,,,image_normalized,0.8936
108,1.802,1,SIDE,1315.96,883.37,0.6854,0.8179,,,image_normalized,0.908
114,1.902,1,SIDE,1317.23,858.05,0.6861,0.7945,,,image_normalized,0.8709
120,2.002,1,SIDE,1319.28,843.81,0.6871,0.7813,,,image_normalized,0.8574
126,2.102,1,SIDE,1323.96,830.34,0.6896,0.7688,,,image_normalized,0.7943
132,2.202,1,SIDE,1329.4,833.85,0.6924,0.7721,,,image_normalized,0.7819
138,2.302,1,SIDE,1336.86,830.21,0.6963,0.7687,,,image_normalized,0.7879
144,2.402,1,SIDE,1335.97,822.0,0.6958,0.7611,,,image_normalized,0.6584
150,2.502,1,SIDE,1338.59,823.97,0.6972,0.7629,,,image_normalized,0.512
156,2.603,1,SIDE,1322.55,812.61,0.6888,0.7524,,,image_normalized,0.72
162,2.703,1,SIDE,1312.57,807.16,0.6836,0.7474,,,image_normalized,0.7441
168,2.803,1,SIDE,1307.1,801.74,0.6808,0.7424,,,image_normalized,0.8006
174,2.903,1,SIDE,1290.12,798.86,0.6719,0.7397,,,image_normalized,0.7347
180,3.003,1,SIDE,1281.14,791.91,0.6673,0.7332,,,image_normalized,0.7782
186,3.103,1,SIDE,1278.2,787.37,0.6657,0.729,,,image_normalized,0.8181
192,3.203,1,SIDE,1275.08,776.95,0.6641,0.7194,,,image_normalized,0.8551
198,3.303,1,SIDE,1272.74,777.58,0.6629,0.72,,,image_normalized,0.8485
204,3.403,1,SIDE,1265.95,776.39,0.6593,0.7189,,,image_normalized,0.839
210,3.504,1,SIDE,1257.22,770.65,0.6548,0.7136,,,image_normalized,0.8768
216,3.604,1,SIDE,1247.92,769.95,0.65,0.7129,,,image_normalized,0.8255
222,3.704,1,SIDE,1237.81,765.92,0.6447,0.7092,,,image_normalized,0.7797
228,3.804,1,SIDE,1225.33,754.34,0.6382,0.6985,,,image_normalized,0.741
234,3.904,1,SIDE,1215.78,758.55,0.6332,0.7024,,,image_normalized,0.8177
240,4.004,1,SIDE,1206.91,762.62,0.6286,0.7061,,,image_normalized,0.8904
246,4.104,1,SIDE,1196.16,758.12,0.623,0.702,,,image_normalized,0.8264
252,4.204,1,SIDE,1187.31,754.54,0.6184,0.6986,,,image_normalized,0.8274
258,4.304,1,SIDE,1183.08,756.84,0.6162,0.7008,,,image_normalized,0.8368
264,4.404,1,SIDE,1179.24,746.9,0.6142,0.6916,,,image_normalized,0.8091
270,4.505,1,SIDE,1175.63,743.7,0.6123,0.6886,,,image_normalized,0.5899
276,4.605,1,SIDE,1173.84,723.15,0.6114,0.6696,,,image_normalized,0.3475
336,5.606,1,SIDE,1122.55,752.02,0.5847,0.6963,,,image_normalized,0.7876
342,5.706,1,SIDE,1124.46,756.04,0.5857,0.7,,,image_normalized,0.7608
348,5.806,1,SIDE,1126.71,762.17,0.5868,0.7057,,,image_normalized,0.746
354,5.906,1,SIDE,1126.89,767.42,0.5869,0.7106,,,image_normalized,0.7457
360,6.006,1,SIDE,1129.16,761.64,0.5881,0.7052,,,image_normalized,0.7997
366,6.106,1,SIDE,1129.9,759.29,0.5885,0.703,,,image_normalized,0.8342
372,6.206,1,SIDE,1128.32,763.53,0.5877,0.707,,,image_normalized,0.7869
378,6.306,1,SIDE,1130.2,779.33,0.5886,0.7216,,,image_normalized,0.8096
384,6.406,1,SIDE,1135.27,783.73,0.5913,0.7257,,,image_normalized,0.8742
390,6.506,1,SIDE,1143.66,781.13,0.5957,0.7233,,,image_normalized,0.8362
396,6.607,1,SIDE,1152.08,776.1,0.6,0.7186,,,image_normalized,0.83
402,6.707,1,SIDE,1154.65,780.47,0.6014,0.7227,,,image_normalized,0.8164
408,6.807,1,SIDE,1164.69,786.13,0.6066,0.7279,,,image_normalized,0.8105
414,6.907,1,SIDE,1168.62,795.54,0.6087,0.7366,,,image_normalized,0.7903
420,7.007,1,SIDE,1172.25,800.49,0.6105,0.7412,,,image_normalized,0.8331
426,7.107,1,SIDE,1171.52,794.62,0.6102,0.7358,,,image_normalized,0.8378
432,7.207,1,SIDE,1168.68,791.88,0.6087,0.7332,,,image_normalized,0.8201
438,7.307,1,SIDE,1167.97,809.76,0.6083,0.7498,,,image_normalized,0.8665
444,7.407,1,SIDE,1162.79,820.23,0.6056,0.7595,,,image_normalized,0.846
450,7.508,1,SIDE,1162.4,817.66,0.6054,0.7571,,,image_normalized,0.8369
456,7.608,1,SIDE,1166.01,811.27,0.6073,0.7512,,,image_normalized,0.8046
462,7.708,1,SIDE,1170.6,804.49,0.6097,0.7449,,,image_normalized,0.8296
468,7.808,1,SIDE,1176.97,817.94,0.613,0.7574,,,image_normalized,0.7633
474,7.908,1,SIDE,1182.21,821.95,0.6157,0.7611,,,image_normalized,0.8062
480,8.008,1,SIDE,1184.73,813.52,0.617,0.7533,,,image_normalized,0.8124
486,8.108,1,SIDE,1186.04,816.02,0.6177,0.7556,,,image_normalized,0.8474
