track_id,player_name,jersey_number,team,frames_tracked,first_frame,last_frame,duration_seconds,distance,distance_unit,average_speed,max_speed,average_confidence,primary_camera_view,coordinate_system
5,Rohan,9.0,Joga FC,118,0,708,11.81,2446.95,pixels,207.16,409.76,0.896,SIDE,image_normalized
2,Sujan,7.0,Panda FC,114,0,678,11.31,2035.75,pixels,179.97,363.12,0.897,SIDE,image_normalized
1,Resman,10.0,Panda FC,122,0,780,13.01,1761.32,pixels,135.35,295.68,0.844,SIDE,image_normalized
106,Track 106,,Unknown,29,768,936,2.8,1532.72,pixels,546.85,358.91,0.821,SIDE,image_normalized
104,Track 104,,Unknown,37,744,960,3.6,1499.18,pixels,416.02,462.38,0.743,SIDE,image_normalized
77,Track 77,,Unknown,36,474,840,6.11,1432.92,pixels,234.67,475.64,0.745,SIDE,image_normalized
116,Track 116,,Unknown,71,828,5400,76.28,1376.4,pixels,18.04,194.65,0.689,WIDE,image_normalized
75,Track 75,,Unknown,56,468,810,5.71,1264.94,pixels,221.7,320.79,0.775,SIDE,image_normalized
84,Track 84,,Unknown,49,504,918,6.91,1257.22,pixels,182.02,436.67,0.766,SIDE,image_normalized
85,Track 85,,Unknown,47,510,804,4.9,1198.2,pixels,244.29,405.92,0.836,SIDE,image_normalized
114,Track 114,,Unknown,24,822,960,2.3,1180.35,pixels,512.68,465.3,0.825,SIDE,image_normalized
109,Track 109,,Unknown,20,792,906,1.9,1087.09,pixels,571.58,387.7,0.856,SIDE,image_normalized
4,Bikash,1.0,Panda FC,76,0,486,8.11,1031.84,pixels,127.26,234.96,0.798,SIDE,image_normalized
95,Track 95,,Unknown,26,684,930,4.1,1024.48,pixels,249.62,363.46,0.687,SIDE,image_normalized
9,Track 9,,Unknown,17,0,174,2.9,866.88,pixels,298.63,465.92,0.413,SIDE,image_normalized
3,Aayush,4.0,Panda FC,51,0,330,5.51,858.6,pixels,155.95,227.26,0.757,SIDE,image_normalized
24,Track 24,,Unknown,21,96,222,2.1,551.42,pixels,262.32,350.67,0.492,SIDE,image_normalized
8,Kiran,5.0,Joga FC,23,0,408,6.81,531.71,pixels,78.11,322.37,0.529,SIDE,image_normalized
48,Track 48,,Unknown,44,246,600,5.91,530.52,pixels,89.83,197.41,0.468,SIDE,image_normalized
10,Track 10,,Unknown,40,12,252,4.0,529.74,pixels,132.3,248.07,0.638,SIDE,image_normalized
17,Track 17,,Unknown,32,48,234,3.1,528.16,pixels,170.2,392.95,0.748,SIDE,image_normalized
35,Track 35,,Unknown,34,156,522,6.11,518.52,pixels,84.92,167.04,0.701,SIDE,image_normalized
21,Track 21,,Unknown,16,78,210,2.2,451.91,pixels,205.21,331.85,0.45,SIDE,image_normalized
11,Track 11,,Unknown,27,18,222,3.4,386.73,pixels,113.63,241.79,0.493,SIDE,image_normalized
15,Track 15,,Unknown,23,36,192,2.6,347.12,pixels,133.37,264.4,0.441,SIDE,image_normalized
