track_id,frames_tracked,first_frame,last_frame,duration_seconds,distance_pixels,average_speed_pixels_per_second,average_confidence
1472,92,1952,2062,4.58,2862.18,624.48,0.852
689,127,1250,1376,5.25,2524.31,480.82,0.827
1598,130,2006,2164,6.58,2455.49,372.99,0.667
1519,104,1972,2076,4.33,2366.46,546.11,0.737
1582,83,2000,2082,3.42,2352.82,688.63,0.819
1128,61,1509,1570,2.54,2141.8,842.68,0.885
664,116,1229,1349,5.0,2062.86,412.57,0.735
345,75,798,890,3.83,2060.11,537.42,0.89
172,79,605,691,3.58,2035.39,568.01,0.801
867,79,1369,1471,4.25,2022.6,475.91,0.72
2339,98,2783,2885,4.25,2008.42,472.57,0.81
1963,75,2380,2458,3.25,2003.88,616.58,0.816
3268,202,4276,4477,8.38,1998.79,238.66,0.82
1468,50,1950,1999,2.04,1968.8,964.31,0.86
2893,174,3618,3813,8.12,1923.66,236.76,0.8
2892,200,3616,3817,8.38,1902.39,227.15,0.74
230,73,681,753,3.0,1830.32,610.11,0.878
189,70,630,707,3.21,1822.55,568.07,0.767
504,99,1003,1106,4.29,1761.26,410.39,0.826
146,67,593,708,4.79,1756.03,366.48,0.787
1130,60,1509,1568,2.46,1728.74,703.22,0.908
895,124,1384,1507,5.12,1685.27,328.83,0.845
346,60,798,863,2.71,1625.73,600.27,0.881
1499,27,1964,2000,1.5,1620.44,1080.29,0.822
510,68,1004,1071,2.79,1616.31,578.98,0.822
1614,27,2034,2082,2.0,1614.01,807.0,0.821
1494,40,1963,2002,1.62,1595.08,981.59,0.737
1229,47,1596,1642,1.92,1592.55,830.9,0.884
2811,112,3553,3664,4.62,1578.72,341.35,0.748
766,61,1309,1370,2.54,1564.09,615.38,0.825
2855,96,3599,3705,4.42,1552.92,351.61,0.638
2027,50,2396,2460,2.67,1528.36,573.13,0.781
2810,116,3553,3668,4.79,1527.36,318.75,0.777
2815,83,3553,3640,3.62,1496.46,412.82,0.646
150,79,593,679,3.58,1446.02,403.54,0.699
1189,16,1545,1586,1.71,1428.02,835.92,0.786
2911,177,3641,3817,7.33,1426.53,194.53,0.729
2734,79,3443,3529,3.58,1395.58,389.46,0.579
1945,38,2374,2412,1.58,1388.74,877.1,0.874
1596,71,2005,2076,2.96,1383.83,467.77,0.608
910,47,1396,1493,4.04,1380.93,341.67,0.679
822,51,1344,1394,2.08,1370.74,657.96,0.852
2699,109,3352,3462,4.58,1369.01,298.69,0.683
2360,47,2823,2869,1.92,1341.81,700.07,0.896
3275,153,4276,4452,7.33,1310.26,178.67,0.624
1475,43,1953,1995,1.75,1277.7,730.11,0.872
3311,204,4319,4522,8.46,1275.12,150.75,0.764
148,58,593,683,3.75,1260.63,336.17,0.699
1504,34,1965,1999,1.42,1254.03,885.2,0.564
832,43,1347,1389,1.75,1247.12,712.64,0.882
3003,77,3819,3948,5.38,1243.47,231.34,0.912
3105,28,4039,4066,1.12,1242.25,1104.23,0.813
861,82,1359,1446,3.62,1234.85,340.65,0.788
3113,26,4045,4070,1.04,1220.7,1171.87,0.603
757,45,1302,1346,1.83,1220.57,665.77,0.837
1893,25,2350,2374,1.0,1220.22,1220.22,0.707
3110,29,4043,4071,1.17,1211.33,1038.28,0.816
3114,22,4045,4069,1.0,1202.49,1202.49,0.536
68,26,397,422,1.04,1202.19,1154.1,0.775
2697,106,3352,3457,4.38,1199.43,274.16,0.839
1922,22,2367,2392,1.04,1193.31,1145.58,0.649
1483,28,1958,1985,1.12,1192.24,1059.77,0.789
1870,36,2336,2374,1.58,1181.5,746.21,0.838
3119,30,4052,4081,1.21,1181.46,977.76,0.736
1539,71,1984,2054,2.92,1181.39,405.05,0.695
2747,33,3449,3481,1.33,1178.82,884.11,0.73
922,28,1413,1478,2.71,1172.48,432.91,0.421
2741,30,3447,3478,1.29,1171.98,907.34,0.534
84,119,410,528,4.92,1171.9,238.35,0.739
1462,22,1947,1968,0.88,1171.52,1338.88,0.811
3111,20,4043,4067,1.0,1153.09,1153.09,0.461
2364,63,2831,2922,3.79,1149.95,303.28,0.828
1899,17,2354,2370,0.67,1148.9,1723.35,0.869
1522,39,1974,2013,1.62,1146.98,705.83,0.583
2737,29,3446,3474,1.17,1137.46,974.97,0.696
2727,25,3439,3463,1.0,1130.14,1130.14,0.719
2732,26,3442,3467,1.04,1129.55,1084.37,0.671
3404,166,4467,4661,8.08,1112.85,137.67,0.581
2504,52,3075,3142,2.79,1106.57,396.38,0.552
3080,47,4020,4066,1.92,1104.99,576.52,0.728
2410,41,2907,2956,2.04,1100.24,538.89,0.674
2465,32,3010,3042,1.33,1085.97,814.48,0.847
774,34,1317,1350,1.38,1075.82,782.41,0.815
3321,104,4335,4441,4.42,1068.88,242.01,0.764
694,43,1253,1334,3.38,1060.29,314.16,0.565
999,17,1454,1497,1.79,1059.06,591.1,0.676
2740,25,3447,3478,1.29,1057.19,818.47,0.522
3522,41,4704,4744,1.67,1056.54,633.92,0.853
2818,45,3553,3621,2.83,1055.63,372.58,0.53
769,35,1310,1344,1.42,1054.95,744.67,0.819
347,41,798,838,1.67,1048.69,629.21,0.796
2445,79,2974,3053,3.29,1047.23,318.14,0.858
3376,105,4420,4524,4.33,1045.52,241.27,0.78
917,48,1400,1471,2.96,1043.94,352.88,0.578
882,70,1376,1446,2.92,1038.66,356.11,0.856
152,74,593,671,3.25,1032.48,317.69,0.805
1467,20,1950,1969,0.79,1032.21,1303.84,0.691
505,20,1003,1026,0.96,1029.59,1074.35,0.798
91,173,418,606,7.83,1023.19,130.62,0.752
1470,13,1951,1969,0.75,1020.98,1361.31,0.422
21,184,229,412,7.62,1017.29,133.41,0.784
1950,25,2376,2400,1.0,1002.09,1002.09,0.576
1924,26,2367,2395,1.17,993.47,851.54,0.86
1864,21,2335,2368,1.38,990.21,720.16,0.657
2713,78,3377,3454,3.21,990.18,308.63,0.705
1567,46,1996,2044,2.0,989.38,494.69,0.819
1563,58,1993,2050,2.38,983.09,413.93,0.777
3377,119,4423,4544,5.04,978.14,194.01,0.717
35,45,344,413,2.88,976.33,339.59,0.703
1501,29,1964,1994,1.25,976.21,780.97,0.523
1461,21,1946,1966,0.83,975.41,1170.49,0.7
2506,103,3078,3180,4.25,974.75,229.35,0.863
2438,69,2969,3045,3.17,974.54,307.75,0.846
1972,46,2380,2436,2.33,970.51,415.93,0.792
772,35,1312,1346,1.42,969.94,684.66,0.713
192,41,635,675,1.67,967.41,580.44,0.82
1879,28,2340,2368,1.17,965.33,827.43,0.791
2754,79,3451,3529,3.25,964.05,296.63,0.757
3095,38,4024,4061,1.54,954.89,619.39,0.71
369,24,840,867,1.12,948.28,842.91,0.739
2131,15,2422,2444,0.92,947.17,1033.28,0.75
63,24,392,415,0.96,944.08,985.13,0.6
662,70,1229,1302,3.04,940.3,309.14,0.771
2120,15,2420,2440,0.83,935.25,1122.3,0.737
1127,13,1509,1521,0.5,932.66,1865.32,0.88
2817,60,3553,3612,2.46,930.29,378.42,0.632
61,23,391,413,0.92,929.31,1013.8,0.578
1230,32,1596,1631,1.46,927.15,635.76,0.723
3087,40,4020,4059,1.62,914.0,562.46,0.721
3434,153,4550,4702,6.33,909.51,143.61,0.821
2335,44,2778,2821,1.79,901.53,503.18,0.828
2707,96,3355,3450,3.96,899.61,227.27,0.72
2838,45,3575,3620,1.88,881.13,469.94,0.657
1704,12,2071,2082,0.46,879.97,1919.93,0.827
3084,39,4020,4058,1.58,879.94,555.75,0.608
3557,29,4733,4779,1.92,879.85,459.05,0.787
1649,22,2055,2076,0.88,877.69,1003.07,0.851
364,39,828,867,1.62,864.85,532.21,0.78
1418,49,1878,1926,2.0,862.43,431.21,0.887
3447,133,4570,4702,5.5,860.38,156.43,0.68
3361,47,4400,4446,1.92,855.39,446.29,0.548
3279,154,4276,4429,6.38,846.92,132.85,0.671
2036,14,2400,2428,1.17,844.77,724.09,0.661
3365,23,4403,4441,1.58,844.4,533.3,0.357
3270,158,4276,4433,6.54,834.38,127.55,0.689
2760,18,3452,3476,1.0,829.99,829.99,0.429
949,31,1433,1465,1.33,825.05,618.79,0.825
1860,30,2335,2364,1.21,824.83,682.62,0.835
3370,30,4415,4444,1.21,816.51,675.73,0.63
3314,104,4320,4432,4.67,815.91,174.84,0.564
3363,34,4401,4437,1.5,815.14,543.43,0.597
2812,57,3553,3609,2.33,804.72,344.88,0.702
1430,26,1918,1960,1.75,804.44,459.68,0.796
3335,38,4365,4436,2.96,794.49,268.56,0.467
3121,17,4054,4070,0.67,793.58,1190.37,0.662
2876,43,3608,3657,2.04,785.37,384.67,0.425
1743,113,2084,2196,4.67,783.58,167.91,0.833
2769,88,3464,3551,3.62,778.3,214.7,0.797
159,29,598,628,1.25,777.09,621.67,0.781
1884,10,2342,2363,0.88,773.53,884.04,0.602
3439,143,4556,4702,6.08,767.06,126.09,0.793
974,60,1448,1507,2.46,759.88,309.1,0.813
3284,112,4277,4389,4.67,755.81,161.96,0.732
164,50,601,665,2.67,754.73,283.02,0.755
2331,33,2777,2809,1.33,748.46,561.34,0.788
2953,121,3695,3817,5.08,746.4,146.83,0.665
1787,88,2198,2296,4.08,745.86,182.66,0.728
215,25,655,687,1.33,745.65,559.24,0.604
2821,57,3555,3618,2.62,742.92,283.02,0.571
1752,113,2084,2196,4.67,736.33,157.78,0.754
743,26,1291,1316,1.04,734.84,705.44,0.847
