frame,video_time,scoreboard_present
0,0.0,0
6,0.25,0
12,0.5,0
18,0.75,0
24,1.0,0
30,1.25,0
36,1.5,0
42,1.75,0
48,2.0,0
54,2.25,0
60,2.5,0
66,2.75,0
72,3.0,0
78,3.25,0
84,3.5,0
90,3.75,0
96,4.0,0
102,4.25,0
108,4.5,1
114,4.75,1
120,5.0,1
126,5.25,1
132,5.5,0
138,5.75,0
144,6.0,0
150,6.25,0
156,6.5,0
162,6.75,0
168,7.0,0
174,7.25,0
180,7.5,0
186,7.75,0
192,8.0,0
198,8.25,0
204,8.5,0
210,8.75,0
216,9.0,0
222,9.25,0
228,9.5,1
234,9.75,1
240,10.0,1
246,10.25,1
252,10.5,1
258,10.75,1
264,11.0,1
270,11.25,1
276,11.5,1
282,11.75,1
288,12.0,1
294,12.25,1
300,12.5,1
306,12.75,1
312,13.0,1
318,13.25,1
324,13.5,1
330,13.75,1
336,14.0,1
342,14.25,1
348,14.5,1
354,14.75,1
360,15.0,1
366,15.25,1
372,15.5,1
378,15.75,1
384,16.0,1
390,16.25,1
396,16.5,1
402,16.75,1
408,17.0,1
414,17.25,1
420,17.5,1
426,17.75,1
432,18.0,1
438,18.25,1
444,18.5,1
450,18.75,1
456,19.0,1
462,19.25,1
468,19.5,1
474,19.75,1
480,20.0,1
486,20.25,1
492,20.5,1
498,20.75,1
504,21.0,1
510,21.25,1
516,21.5,1
522,21.75,1
528,22.0,1
534,22.25,1
540,22.5,1
546,22.75,1
552,23.0,1
558,23.25,1
564,23.5,1
570,23.75,1
576,24.0,1
582,24.25,1
588,24.5,1
594,24.75,1
600,25.0,1
606,25.25,1
612,25.5,1
618,25.75,1
624,26.0,1
630,26.25,1
636,26.5,1
642,26.75,1
648,27.0,1
654,27.25,1
660,27.5,1
666,27.75,1
672,28.0,1
678,28.25,1
684,28.5,1
690,28.75,1
696,29.0,1
702,29.25,1
708,29.5,1
714,29.75,1
720,30.0,1
726,30.25,1
732,30.5,1
738,30.75,1
744,31.0,1
750,31.25,1
756,31.5,1
762,31.75,1
768,32.0,1
774,32.25,1
780,32.5,1
786,32.75,1
792,33.0,1
798,33.25,1
804,33.5,1
810,33.75,1
816,34.0,1
822,34.25,1
828,34.5,1
834,34.75,1
840,35.0,1
846,35.25,1
852,35.5,1
858,35.75,1
864,36.0,1
870,36.25,1
876,36.5,1
882,36.75,1
888,37.0,1
894,37.25,1
900,37.5,1
906,37.75,1
912,38.0,1
918,38.25,1
924,38.5,1
930,38.75,1
936,39.0,1
942,39.25,1
948,39.5,1
954,39.75,1
960,40.0,1
966,40.25,1
972,40.5,1
978,40.75,1
984,41.0,1
990,41.25,1
996,41.5,1
1002,41.75,1
1008,42.0,1
1014,42.25,1
1020,42.5,1
1026,42.75,1
1032,43.0,1
1038,43.25,1
1044,43.5,1
1050,43.75,1
1056,44.0,1
1062,44.25,1
1068,44.5,1
1074,44.75,1
1080,45.0,1
1086,45.25,1
1092,45.5,1
1098,45.75,1
1104,46.0,1
1110,46.25,1
1116,46.5,1
1122,46.75,1
1128,47.0,0
1134,47.25,0
1140,47.5,0
1146,47.75,0
1152,48.0,0
1158,48.25,0
