segment,frame,video_time,match_time,score,raw_ocr,ocr_confidence
1,0,0.0,,,". "" a l",27.25
1,48,0.801,,,a Ct. | ae o,19.8
1,96,1.602,,,RS an ce aac ; :,11.0
1,144,2.402,,,,0.0
1,192,3.203,,,,0.0
1,240,4.004,,,!,66.0
1,288,4.805,,,| a ! HUB 3. wt ~,58.0
1,336,5.606,,,"HUB s:: c ,_r X *",56.83
1,384,6.406,,,o* “owe. Cem. veeeww ~~ - HUBS:,20.57
1,432,7.207,,,| wee ——~ = HUBS:,49.4
1,480,8.008,,4-8,a 48 . \ rtrrtry: = ~~ =,27.88
1,528,8.809,,,a,8.0
1,576,9.61,,,,0.0
1,624,10.41,,,,0.0
1,672,11.211,,,,0.0
1,720,12.012,,,,0.0
1,768,12.813,,,"wo: = : N\ vag ~ . ™ \ “~ o- . - 7 ; , hr, ee ee",19.79
1,816,13.614,,,"me : er + a, eg | Bea, toy ~—, wy Re rn",32.54
1,864,14.414,,,LI | ee meee ™ re. y | Sry ee,36.9
1,912,15.215,,,"Ky] w a | —,—. a ~ tine 8 + oi, __ >",37.15
1,960,16.016,,,“| ie ®e 7 aaa,40.0
2,4956,82.683,,,,0.0
2,4987,83.2,,,— ~ ae ™ ae ~ ~~ . ma a,35.4
2,5018,83.717,,,A oN : q . — a oi oe i on oe . .,29.29
2,5049,84.234,,,"oo yf a w~. JG ee a ae: . ' P aN a0) S ee, "" . oe i ak a . ™ : “ 5 ° . ne, ‘ Xe . ee OO 8",31.8
2,5080,84.751,,,"_ “—N a J cet ee 0 “3 . “4 ae Prose: re z . oy .. “ . x . , Ce . a e rs. te! . ay ~ - a .",27.03
2,5111,85.269,,,"&. , ee a a . yee : oy . ; . ‘ re a ot ~ ws” = : B. a. at yy? on ey ’ ! Stel aS aS ; <neiiae . ot . a ayy"" on , . bal , - . fol wer 8 ‘ wd wpe",24.49
2,5142,85.786,,2-7,"ee ‘™ . So MA > x: apes aA) eR -_ rand . oy, hh 9S ata ») ’ : Pe ~ . . , e ¥ an bat ‘ ‘ 4: , . : ° . +e . ye eC ~\ <a ek en 2 . cup enh 3 aan ‘e ‘ ey aac “s ‘ee : “2 7. . ‘ 4 “ RQ. . . i 5° ae re “toe .. i . “. Taro ae omy ‘ > + » y .",25.99
2,5173,86.303,,,"—~ . Dw. oe aie ved . 2 Oy - > ®-. at - on ‘y . 4. ™. * oo, . x - r= q . 2",28.75
2,5204,86.82,,,. 7 - Jee bw wo - al . . eo he MS in ete ~ wos . ae Y an oe : a : ay On ero | . oe o's . >. oat,31.14
2,5235,87.337,,,". ace *,° “te: “eg ‘ Ne to, wees . 7 X¢. ee ¥, . ” a. 5 aver oe {",26.33
2,5266,87.854,,,,0.0
2,5297,88.372,,,,0.0
2,5328,88.889,,,"S, x8 - | . = sate eee \",22.67
2,5359,89.406,,,,0.0
2,5390,89.923,,,XN NX \,34.33
3,5640,94.094,,,,0.0
3,6562,109.476,,7-0,PANDA FC «> - aN 7 0 @) JOGAFC _ _ K f— -._« a an,34.88
3,7484,124.858,,1-1,PANDAFC =: 0 Wy QO = JOGA FC a - - ty 11 \Lo | emeaaten,37.38
3,8406,140.24,,7-0,"PANDAFC > 0) ‘ 7 0 @ JocAFC . “a ATP, UN a lk",39.07
3,9328,155.622,,,PANDAFC = O74 0 @) Jocarc,35.67
3,10250,171.004,,,PANDA FC = ov y 0 @) JOGA FC,44.44
3,11172,186.386,,,PANDAFC = O14 Q @5 Jocarc,42.0
3,12094,201.768,,,"PANDAFC=° Vy, Q ""7 JOGA FC",32.67
3,13016,217.15,,,"PANDA FC «=: 0% Q ""7 JOGA FC",46.38
3,13938,232.532,,7-0,PANDAFC =: Q\'7 0 & JOGAFC,56.0
3,14860,247.914,,,"PANDAFC = 0) \y, 0 & JOGA 3",42.88
3,15782,263.296,,,"PANDA FC «=: 0% 0 ""9 JOGA FC",42.5
3,16704,278.678,,,PANDAFC = 0) WW 0 % JOGAFC . -- ”—h—C CE | CL ES,26.14
3,17626,294.06,,,MPANDAFC = 0 ey JOGA FC,57.67
3,18548,309.442,,,"— PANDAFC => 0) Vy, 0 & JOGA FC ee ee me ON oO",36.14
3,19470,324.825,,,PANDAFC “=: Vy 0 @ Jocarc— a - iv - .,45.36
3,20392,340.207,,,PANDAFC > y 0 @ socarc — - _ - ROSE,53.73
3,21314,355.589,,,panpaArc =; O40 & vocarc,26.2
3,22236,370.971,,,panpAFC = O40 & socarc,21.6
3,23158,386.353,,,"PANDAFC => Vy, 0 & JOGA FC",38.57
3,24080,401.735,,,,0.0
4,24384,406.806,,,ws sO i,5.0
4,25204,420.487,,,"PANDAFC :° 1 Vy, 0 % JOGA FC ee (Wi .X | a",28.08
4,26024,434.167,,,PANDAFC =: 1] Vy 0 @ JOGAFC,55.0
4,26844,447.847,,,PANDAFC > «1140 9 socare,16.8
4,27664,461.528,,,"an i i PANDAFC = Vy, Q ""7 JOGA FC",38.4
4,28484,475.208,,,"PANDAFC => Vy, 0 % JOGA FC F | Xv i a",35.08
4,29304,488.888,,,PANDAFC => ‘ y 0 @ Jocarc ee,46.0
4,30124,502.569,,,"PANDAFC =>] Vy, 0 & JOGA FC 4",42.62
4,30944,516.249,,,anpAFC > 6140 @ vocare,28.6
4,31764,529.929,,4-0,PANDAFC =] 4 0 @) JOGA FC,33.43
4,32584,543.61,,,PANDAFC =>] y 0 @9 JocAFc ; | i | is Go,45.92
4,33404,557.29,,7-0,PANDA FC ° >: AN 7 0 @c} JOGA FC we,46.27
4,34224,570.97,,,PANDAFC =] Vy 0 & JOGAFC,42.17
4,35044,584.651,,,PANDAFC <>] Vy 0 @ soca Fc,60.57
4,35864,598.331,,,PANDAFC =: N y 0 @ Jocarc | j en,53.0
4,36684,612.011,,,PANDA Fe > FCs: | ‘ y) 0 & JOGA FC,48.73
4,37504,625.692,,,— PANDAFC ==> J ¥ 0 JOGA a a) en a\ f-,27.92
4,38324,639.372,,,PANDAFC =] Vy 0 @ soca Fe pe ;  f “OORe tos ~* ~~,38.21
4,39144,653.052,,,PANDA FC °«: V7 0 & JOGA FC,48.0
4,39964,666.733,,1-1,PanpArc > «11°70 @ Jocarc,34.8
4,40784,680.413,,,PANDAFC = 2 Vy Q 7 JOGA FC re - ~ _ !,30.92
5,40872,681.881,,,,0.0
5,43020,717.717,,2-1,PANDAFC = 21°70 =) socare,43.4
5,45168,753.553,,27-0,PANDAFC-= 270 &9 JOGAFC:,29.25
5,47316,789.389,,,"PANDAFC =. 2 Vy 0 @ scare 7 he ~*~ ap ; nO,",33.38
5,49464,825.224,,,"PANDAFC =: 2 Vy, 0 @ JocAFC —",57.5
5,51612,861.06,,,—1 i. 1 PANDA FC «=: ANY 0 % JOGA FC tO - J,45.93
5,53760,896.896,,,ae ‘J (fina PANDAFC =: 2 i) 0 S JOGAFC x wih 5 . -,42.6
5,55908,932.732,,,: i; be Oe Oe eee PANDA FC «=: 1% 0 @ socarc,36.62
5,58056,968.568,,2-1,PANDAFC = 21°40 @ Josarc,56.2
5,60204,1004.403,,2-1,PANDAFC = 21°40 @ Jocarc |,48.5
5,62352,1040.239,,,,0.0
5,64500,1076.075,,2-1,PANDAFC- = 21°70 @ socarc,23.8
5,66648,1111.911,,,PANDA FC =. aN y) 0 @) soca rc nn oe a Ae J ee alll,31.69
5,68796,1147.747,,7-0,"PANDAFC-= 2\1""70 @ Jocarc",37.0
5,70944,1183.582,,,PANDA FC =: aN y 0 @ JocAFc ; FE 0. Zao,48.0
5,73092,1219.418,,2-7,PANDAFC = 2 7 0 @ soca FC ~/  oenen gemma We _ ~ — i — .,46.78
5,75240,1255.254,,2-1,PANDAFC > 21°40 9) Josarc,44.4
5,77388,1291.09,,,PANDA FC «=: 1% 0 % JOGA FC,45.38
5,79536,1326.926,,27-0,PANDAFC > 270 @ JOcArC,49.6
5,81684,1362.761,,,PANDAFC = 2 \ y) 0 @) JOGAFC _ NR Rn a ef,45.15
5,83832,1398.597,,,,0.0
6,83904,1399.798,,,up —,50.0
6,83952,1400.599,,,np a,20.5
7,84192,1404.603,,,y wo,33.5
7,84228,1405.204,,,y,54.0
8,84312,1406.605,,,a,29.0
8,84342,1407.106,,,|,34.0
8,84372,1407.606,,,,0.0
8,84402,1408.107,,,| f,54.0
8,84432,1408.607,,,| SF,60.5
8,84462,1409.108,,,,0.0
8,84492,1409.608,,,,0.0
8,84522,1410.109,,,,0.0
9,85656,1429.028,,,. . | ‘fie a J . a > 7 !,34.0
9,88683,1479.528,,,PANDAFC =: 2 Ww 0 @ Jocarc ox,49.0
9,91710,1530.029,,,PANDAFC > 2 Vy 0 @ JoGA FC Pec Soe _ <,51.58
9,94737,1580.529,,,"PANDA FC =: NG) 0 @ soca FC - _———"""" +. 371 :- B® ""= NS. Boa ,",44.89
9,97764,1631.029,,,PANDAFC => 2 ) 0 JOGA FC | 1 “as :,22.36
9,100791,1681.53,,,PANDA FC ° =: Ny 0 % JOGA FC,47.33
9,103818,1732.03,,7-0,PANDA FC = aN 7 0 @ socarc,61.25
9,106845,1782.531,,,PANDAFC > 2 y 0 @) JOGAFC ~~ [ae Toe C--,43.36
9,109872,1833.031,,,PANDAFC > 2 Vy 0 @ Jocarc J od ' i Vt,58.0
9,112899,1883.532,,,- PANDA FC» =. Aw 0 & JOGAFC,27.88
